UF,Sexo,Idade,Cor,Anos de Estudo,Renda,Altura
Rondônia,Masculino,33,Branca,16,2500,1.623599656
Rondônia,Feminino,49,Parda,6,788,1.701556571
Rondônia,Masculino,37,Branca,12,2000,1.566850054
Rondônia,Masculino,35,Preta,12,788,1.570629405
Rondônia,Feminino,55,Parda,9,380,1.8919114609999998
Rondônia,Masculino,24,Parda,12,836,1.6656636569999999
Rondônia,Masculino,34,Parda,15,1250,1.709368199
Rondônia,Masculino,27,Branca,12,1325,1.6078446309999999
Rondônia,Masculino,50,Branca,8,1550,1.787377877
Rondônia,Masculino,53,Amarela,8,1800,1.608399085
Rondônia,Masculino,67,Preta,1,1500,1.763905316
Rondônia,Masculino,52,Branca,12,20000,1.6358188530000002
Rondônia,Masculino,42,Parda,5,3000,1.738460556
Rondônia,Feminino,66,Branca,1,1600,1.826377869
Rondônia,Masculino,47,Branca,4,788,1.7381368030000002
Rondônia,Masculino,60,Parda,9,1400,1.72215259
Rondônia,Masculino,29,Branca,11,580,1.682925706
Rondônia,Masculino,55,Branca,5,1500,1.727120107
Rondônia,Masculino,55,Branca,5,1000,1.76526822
Rondônia,Masculino,56,Branca,5,100,1.731027167
Rondônia,Masculino,69,Branca,9,0,1.6111239819999998
Rondônia,Masculino,51,Branca,4,1000,1.615538212
Rondônia,Feminino,25,Parda,12,390,1.629709329
Rondônia,Masculino,49,Parda,3,788,1.726483566
Rondônia,Masculino,61,Preta,4,1800,1.5381678730000001
Rondônia,Feminino,54,Parda,1,400,1.738933215
Rondônia,Masculino,37,Parda,7,1500,1.6511926280000002
Rondônia,Masculino,39,Branca,9,2000,1.6667237240000001
Rondônia,Masculino,52,Branca,5,350,1.7811441719999999
Rondônia,Masculino,48,Branca,2,1600,1.71785355
Rondônia,Masculino,40,Parda,8,1600,1.513863366
Rondônia,Masculino,73,Branca,1,1000,1.553525857
Rondônia,Masculino,49,Branca,3,788,1.72315498
Rondônia,Masculino,45,Parda,16,3000,1.7430847719999998
Rondônia,Masculino,80,Branca,5,2000,1.66802203
Rondônia,Masculino,45,Parda,12,10000,1.7471744999999999
Rondônia,Feminino,34,Preta,16,900,1.7774753030000001
Rondônia,Masculino,65,Branca,7,6000,1.840835531
Rondônia,Feminino,23,Branca,15,1600,1.7309260530000001
Rondônia,Masculino,52,Branca,12,1300,1.723572813
Rondônia,Feminino,32,Parda,12,1400,1.559549881
Rondônia,Feminino,36,Parda,12,1400,1.729987752
Rondônia,Masculino,28,Branca,16,3500,1.592238852
Rondônia,Masculino,48,Branca,12,2500,1.636973911
Rondônia,Masculino,36,Parda,12,1700,1.654289422
Rondônia,Masculino,48,Branca,9,4500,1.7325838230000001
Rondônia,Feminino,42,Branca,12,1700,1.627887329
Rondônia,Feminino,46,Branca,12,4124,1.718625846
Rondônia,Feminino,51,Parda,12,1500,1.59485698
Rondônia,Masculino,26,Parda,12,1200,1.731993035
Rondônia,Masculino,25,Parda,13,1000,1.871046059
Rondônia,Masculino,27,Parda,12,1200,1.763705326
Rondônia,Masculino,28,Parda,12,1600,1.579531361
Rondônia,Feminino,37,Parda,11,950,1.709822149
Rondônia,Masculino,26,Parda,11,1500,1.674497651
Rondônia,Masculino,27,Parda,11,1500,1.692249071
Rondônia,Masculino,41,Parda,16,4000,1.706601775
Rondônia,Masculino,49,Branca,6,900,1.772734561
Rondônia,Masculino,32,Parda,16,6000,1.7274087740000001
Rondônia,Masculino,41,Preta,1,3000,1.778035651
Rondônia,Masculino,30,Branca,16,6000,1.7357822719999998
Rondônia,Masculino,79,Branca,12,0,1.787522442
Rondônia,Masculino,52,Parda,15,2200,1.7893944119999998
Rondônia,Masculino,36,Branca,12,2000,1.6393592780000001
Rondônia,Masculino,35,Parda,16,4000,1.738335643
Rondônia,Masculino,50,Parda,1,1000,1.743165296
Rondônia,Masculino,53,Parda,1,1400,1.554162354
Rondônia,Feminino,32,Parda,5,788,1.772603355
Rondônia,Feminino,36,Branca,9,788,1.677731391
Rondônia,Masculino,52,Preta,9,1700,1.684526315
Rondônia,Masculino,55,Parda,1,1000,1.727906955
Rondônia,Masculino,42,Branca,16,3000,1.720236047
Rondônia,Masculino,35,Parda,5,1500,1.679200749
Rondônia,Masculino,71,Branca,6,1100,1.7399552740000002
Rondônia,Masculino,31,Preta,1,1000,1.758267501
Rondônia,Feminino,43,Parda,12,1100,1.717289179
Rondônia,Masculino,51,Parda,9,1200,1.6607728590000002
Rondônia,Masculino,37,Parda,9,2580,1.649140632
Rondônia,Masculino,38,Parda,17,1900,1.7070802230000002
Rondônia,Feminino,35,Parda,16,2150,1.679997644
Rondônia,Masculino,26,Branca,12,1800,1.73665454
Rondônia,Feminino,50,Parda,6,300,1.681007713
Rondônia,Masculino,59,Parda,5,1300,1.691254559
Rondônia,Masculino,25,Parda,12,788,1.7149628430000001
Rondônia,Feminino,42,Branca,16,2800,1.72502471
Rondônia,Masculino,41,Parda,5,1440,1.6609424519999998
Rondônia,Masculino,38,Parda,5,850,1.711345558
Rondônia,Feminino,36,Branca,16,9000,1.7242203759999999
Rondônia,Masculino,32,Parda,15,7800,1.729626334
Rondônia,Masculino,45,Parda,5,1200,1.614643223
Rondônia,Feminino,26,Branca,11,1500,1.656445512
Rondônia,Feminino,28,Branca,12,3000,1.6682008169999998
Rondônia,Masculino,29,Parda,6,400,1.648669596
Rondônia,Feminino,30,Parda,7,550,1.8372428630000002
Rondônia,Feminino,36,Parda,12,1200,1.741514536
Rondônia,Masculino,25,Parda,12,1500,1.735279131
Rondônia,Masculino,26,Parda,6,1100,1.7580257190000002
Rondônia,Feminino,44,Parda,6,900,1.61644168
Rondônia,Feminino,19,Branca,12,2300,1.8048389930000002
Rondônia,Masculino,34,Amarela,16,8000,1.6490530730000001
Rondônia,Masculino,36,Parda,13,1400,1.807143241
Rondônia,Feminino,36,Parda,16,5000,1.654739706
Rondônia,Masculino,39,Branca,3,2500,1.65973197
Rondônia,Masculino,32,Parda,12,1490,1.8338204009999999
Rondônia,Masculino,57,Parda,3,2300,1.752300365
Rondônia,Feminino,28,Branca,5,430,1.739136095
Rondônia,Masculino,28,Branca,9,400,1.6365237430000001
Rondônia,Feminino,36,Parda,12,300,1.749389281
Rondônia,Masculino,46,Parda,10,160,1.700809575
Rondônia,Masculino,49,Branca,16,900,1.5948491619999998
Rondônia,Masculino,39,Parda,4,688,1.844883796
Rondônia,Masculino,49,Branca,9,400,1.6540190780000001
Rondônia,Masculino,55,Branca,3,1000,1.816873908
Rondônia,Masculino,60,Parda,9,0,1.715936556
Rondônia,Masculino,55,Parda,9,8000,1.8375288459999999
Rondônia,Feminino,22,Branca,16,805,1.8151432280000002
Rondônia,Masculino,42,Parda,12,6000,1.7400191680000001
Rondônia,Masculino,35,Branca,16,2000,1.610327007
Rondônia,Masculino,38,Parda,12,850,1.7767010019999998
Rondônia,Masculino,29,Branca,16,5200,1.605596826
Rondônia,Masculino,66,Preta,2,789,1.710531655
Rondônia,Masculino,48,Branca,1,2000,1.60734188
Rondônia,Masculino,34,Parda,16,5000,1.671755171
Rondônia,Feminino,49,Parda,12,400,1.6067701269999999
Rondônia,Masculino,49,Branca,9,1800,1.564118322
Rondônia,Masculino,62,Branca,12,4000,1.712222929
Rondônia,Masculino,28,Preta,12,1000,1.7451797690000002
Rondônia,Feminino,32,Parda,6,200,1.612323235
Rondônia,Masculino,41,Branca,1,250,1.811847854
Rondônia,Masculino,52,Parda,3,800,1.7275253169999998
Rondônia,Masculino,43,Parda,12,1600,1.7593349930000002
Rondônia,Masculino,39,Branca,8,800,1.6792035719999998
Rondônia,Masculino,37,Parda,6,1600,1.728953956
Rondônia,Masculino,67,Parda,1,1000,1.643999861
Rondônia,Masculino,54,Branca,5,2500,1.735019871
Rondônia,Masculino,77,Parda,1,250,1.7914209380000001
Rondônia,Masculino,64,Parda,4,1000,1.7152994069999998
Rondônia,Masculino,58,Branca,1,10000,1.7228393640000002
Rondônia,Masculino,57,Parda,3,1200,1.804646938
Rondônia,Masculino,43,Parda,13,1200,1.778950307
Rondônia,Masculino,64,Parda,5,3000,1.705584335
Rondônia,Masculino,52,Branca,7,1200,1.733608819
Rondônia,Masculino,52,Parda,1,2500,1.7533276569999998
Rondônia,Feminino,26,Parda,15,1000,1.817722725
Rondônia,Masculino,41,Branca,12,2700,1.706976565
Rondônia,Masculino,24,Parda,16,1300,1.7722571169999999
Rondônia,Feminino,31,Parda,6,500,1.76083604
Rondônia,Feminino,29,Branca,14,1000,1.711327999
Rondônia,Masculino,41,Parda,5,1500,1.76445333
Rondônia,Masculino,44,Parda,6,1900,1.6345944030000001
Rondônia,Feminino,38,Branca,7,1300,1.7212339319999999
Rondônia,Feminino,62,Parda,10,300,1.62495925
Rondônia,Masculino,59,Branca,1,788,1.7846916019999999
Rondônia,Feminino,60,Branca,3,788,1.709539664
Rondônia,Masculino,48,Branca,5,2500,1.740528997
Rondônia,Masculino,56,Branca,2,788,1.721948047
Rondônia,Feminino,32,Branca,9,1020,1.624170747
Rondônia,Feminino,43,Parda,1,600,1.610421713
Rondônia,Feminino,26,Parda,12,1920,1.7154187669999998
Rondônia,Masculino,57,Preta,5,1500,1.730241951
Rondônia,Masculino,39,Parda,1,788,1.5871565669999999
Rondônia,Masculino,45,Branca,12,1000,1.7948840730000002
Rondônia,Masculino,51,Parda,2,2500,1.7150598119999998
Rondônia,Masculino,34,Branca,12,789,1.8389235959999999
Rondônia,Feminino,40,Preta,7,830,1.631127346
Rondônia,Feminino,36,Branca,12,1000,1.5302696669999998
Rondônia,Masculino,55,Parda,7,1800,1.755595003
Rondônia,Masculino,49,Branca,8,2300,1.835355316
Rondônia,Masculino,39,Parda,12,800,1.672349006
Rondônia,Feminino,39,Parda,6,788,1.641681806
Rondônia,Feminino,38,Preta,16,1200,1.7007086869999999
Rondônia,Feminino,17,Branca,11,230,1.8409296480000001
Rondônia,Masculino,51,Branca,16,2364,1.617595593
Rondônia,Feminino,56,Branca,7,500,1.609445009
Rondônia,Feminino,45,Parda,1,1800,1.709539346
Rondônia,Masculino,57,Branca,3,3650,1.6382090269999998
Rondônia,Masculino,69,Branca,1,850,1.6999776640000002
Rondônia,Feminino,38,Parda,5,0,1.726380083
Rondônia,Masculino,31,Branca,9,2000,1.5337810230000002
Rondônia,Masculino,54,Parda,1,1500,1.7938287819999998
Rondônia,Masculino,41,Branca,5,700,1.7854777469999998
Rondônia,Masculino,43,Branca,4,750,1.608269896
Rondônia,Masculino,40,Branca,5,800,1.6981890240000002
Rondônia,Masculino,39,Parda,1,1200,1.664920063
Rondônia,Masculino,42,Branca,4,1400,1.7291853030000002
Rondônia,Masculino,58,Parda,1,750,1.654449975
Rondônia,Feminino,23,Parda,9,300,1.8223396040000002
Rondônia,Feminino,43,Parda,10,788,1.5306827369999998
Rondônia,Masculino,38,Parda,6,400,1.840644739
Rondônia,Masculino,38,Branca,16,400,1.754663691
Rondônia,Feminino,38,Preta,6,788,1.698167372
Rondônia,Masculino,37,Parda,1,788,1.5948902040000001
Rondônia,Feminino,59,Parda,4,1500,1.534158814
Rondônia,Masculino,50,Parda,7,1500,1.680383502
Rondônia,Masculino,31,Branca,16,3000,1.7207936999999998
Rondônia,Masculino,44,Parda,12,1400,1.781007987
Rondônia,Masculino,27,Parda,12,1000,1.634692307
Rondônia,Feminino,36,Parda,12,800,1.8790122319999998
Rondônia,Masculino,37,Parda,7,800,1.7308655919999998
Rondônia,Masculino,49,Parda,12,700,1.858994735
Rondônia,Masculino,55,Parda,8,900,1.7313341930000001
Rondônia,Masculino,37,Preta,9,788,1.81014312
Rondônia,Feminino,52,Parda,12,788,1.5532768319999999
Rondônia,Feminino,38,Parda,1,400,1.77528698
Rondônia,Feminino,66,Parda,16,2000,1.729180189
Rondônia,Masculino,63,Branca,12,3000,1.8498651030000002
Rondônia,Feminino,31,Parda,15,300,1.7707954069999998
Rondônia,Feminino,49,Parda,12,1300,1.79307671
Rondônia,Masculino,46,Branca,6,1200,1.7202885630000002
Rondônia,Masculino,45,Parda,8,1500,1.776154971
Rondônia,Feminino,33,Preta,10,200,1.72527463
Rondônia,Masculino,58,Preta,8,1600,1.6727131659999999
Rondônia,Masculino,54,Parda,3,1200,1.553054861
Rondônia,Masculino,72,Parda,1,1500,1.734895336
Rondônia,Masculino,70,Parda,1,400,1.604257134
Rondônia,Masculino,50,Parda,6,350,1.739618858
Rondônia,Masculino,64,Branca,5,2400,1.7454798409999999
Rondônia,Masculino,61,Parda,5,0,1.598207291
Rondônia,Masculino,53,Parda,1,788,1.837902771
Rondônia,Masculino,38,Parda,6,800,1.6511602930000002
Rondônia,Masculino,72,Parda,1,0,1.6579991790000002
Rondônia,Masculino,22,Branca,8,1100,1.779518039
Rondônia,Masculino,50,Branca,13,2500,1.92579977
Rondônia,Masculino,49,Parda,2,0,1.7982535919999998
Rondônia,Masculino,41,Branca,16,2000,1.6765546759999999
Rondônia,Masculino,31,Branca,14,3000,1.728661239
Rondônia,Masculino,44,Branca,16,5000,1.7497713419999998
Rondônia,Masculino,41,Branca,16,3500,1.576958875
