UF,Sexo,Idade,Cor,Anos de Estudo,Renda,Altura
Rio de Janeiro,Masculino,34,Branca,16,8000,1.6806781419999999
Rio de Janeiro,Masculino,57,Branca,16,5000,1.642118895
Rio de Janeiro,Masculino,37,Branca,6,800,1.650609479
Rio de Janeiro,Masculino,47,Branca,4,1000,1.8270364119999998
Rio de Janeiro,Feminino,55,Parda,4,788,1.6409701819999998
Rio de Janeiro,Masculino,20,Parda,7,1200,1.7073584080000002
Rio de Janeiro,Masculino,38,Branca,9,1600,1.7651139059999998
Rio de Janeiro,Masculino,55,Branca,5,200,1.755105561
Rio de Janeiro,Masculino,35,Parda,8,4000,1.759982585
Rio de Janeiro,Masculino,30,Parda,12,1000,1.763803298
Rio de Janeiro,Masculino,46,Branca,9,1200,1.641823829
Rio de Janeiro,Feminino,43,Parda,12,1500,1.74727691
Rio de Janeiro,Masculino,47,Parda,12,2500,1.65470219
Rio de Janeiro,Masculino,48,Preta,9,3000,1.753025974
Rio de Janeiro,Masculino,52,Preta,6,2000,1.82005332
Rio de Janeiro,Feminino,42,Branca,16,3000,1.735414302
Rio de Janeiro,Masculino,62,Parda,9,600,1.7699293390000002
Rio de Janeiro,Masculino,64,Branca,12,3500,1.731615266
Rio de Janeiro,Masculino,36,Parda,12,3000,1.839596285
Rio de Janeiro,Masculino,57,Parda,12,9000,1.716719993
Rio de Janeiro,Masculino,51,Parda,16,3500,1.724343137
Rio de Janeiro,Feminino,63,Branca,9,1500,1.586305205
Rio de Janeiro,Feminino,55,Branca,9,800,1.608866388
Rio de Janeiro,Feminino,68,Branca,5,400,1.679950705
Rio de Janeiro,Masculino,52,Branca,12,900,1.6448677680000001
Rio de Janeiro,Feminino,42,Branca,14,2000,1.693879586
Rio de Janeiro,Masculino,37,Branca,16,4800,1.815177876
Rio de Janeiro,Feminino,50,Branca,15,2000,1.696986017
Rio de Janeiro,Masculino,38,Branca,12,2000,1.535012716
Rio de Janeiro,Masculino,38,Branca,11,2200,1.7736804169999998
Rio de Janeiro,Masculino,50,Parda,7,600,1.6962620519999998
Rio de Janeiro,Feminino,41,Branca,12,800,1.838547977
Rio de Janeiro,Masculino,80,Branca,1,0,1.589906544
Rio de Janeiro,Masculino,31,Parda,9,600,1.674263251
Rio de Janeiro,Masculino,39,Parda,7,300,1.5647375280000002
Rio de Janeiro,Masculino,30,Parda,16,1000,1.7927373569999998
Rio de Janeiro,Masculino,53,Parda,5,800,1.74319364
Rio de Janeiro,Feminino,42,Preta,12,788,1.8872034930000001
Rio de Janeiro,Feminino,47,Parda,8,1000,1.712834364
Rio de Janeiro,Masculino,43,Parda,7,600,1.82251067
Rio de Janeiro,Masculino,47,Parda,16,1700,1.658080061
Rio de Janeiro,Masculino,43,Branca,1,4000,1.706315593
Rio de Janeiro,Masculino,62,Branca,5,2000,1.612021427
Rio de Janeiro,Masculino,30,Parda,5,500,1.831682311
Rio de Janeiro,Feminino,53,Branca,1,1000,1.5813392430000002
Rio de Janeiro,Masculino,30,Parda,7,1000,1.767826383
Rio de Janeiro,Masculino,65,Preta,5,788,1.771197329
Rio de Janeiro,Masculino,50,Branca,7,900,1.627466377
Rio de Janeiro,Masculino,55,Parda,4,300,1.762593619
Rio de Janeiro,Masculino,26,Parda,12,400,1.6954221669999998
Rio de Janeiro,Masculino,22,Parda,11,950,1.7022979719999998
Rio de Janeiro,Masculino,26,Preta,4,400,1.657419397
Rio de Janeiro,Masculino,60,Branca,1,1100,1.716294113
Rio de Janeiro,Masculino,32,Parda,6,800,1.758641602
Rio de Janeiro,Masculino,37,Parda,5,500,1.692234615
Rio de Janeiro,Masculino,38,Parda,6,1500,1.744313475
Rio de Janeiro,Masculino,52,Preta,6,1100,1.618589894
Rio de Janeiro,Masculino,47,Preta,13,3000,1.75728546
Rio de Janeiro,Masculino,26,Preta,10,700,1.656515374
Rio de Janeiro,Masculino,47,Branca,12,2200,1.7518059730000002
Rio de Janeiro,Masculino,41,Branca,12,1300,1.712958657
Rio de Janeiro,Masculino,54,Parda,12,2000,1.784668695
Rio de Janeiro,Masculino,52,Parda,9,1300,1.693306247
Rio de Janeiro,Masculino,29,Branca,9,1000,1.6218751869999999
Rio de Janeiro,Masculino,47,Parda,9,1200,1.771573123
Rio de Janeiro,Masculino,37,Parda,9,788,1.688368804
Rio de Janeiro,Feminino,55,Preta,4,788,1.707005754
Rio de Janeiro,Feminino,45,Parda,12,1000,1.6016749959999999
Rio de Janeiro,Masculino,47,Parda,12,2900,1.717752835
Rio de Janeiro,Feminino,55,Preta,6,600,1.616530874
Rio de Janeiro,Masculino,72,Parda,5,364,1.6072736109999999
Rio de Janeiro,Masculino,23,Preta,11,1000,1.790923632
Rio de Janeiro,Feminino,36,Branca,9,953,1.611896995
Rio de Janeiro,Masculino,39,Preta,12,950,1.720143913
Rio de Janeiro,Masculino,41,Branca,9,1200,1.7395984830000002
Rio de Janeiro,Feminino,59,Preta,6,788,1.7290764580000002
Rio de Janeiro,Masculino,51,Parda,5,1400,1.693679642
Rio de Janeiro,Masculino,51,Branca,9,500,1.6892847169999998
Rio de Janeiro,Masculino,44,Preta,9,1600,1.69071607
Rio de Janeiro,Masculino,24,Parda,12,1600,1.7986176440000001
Rio de Janeiro,Masculino,52,Preta,6,1600,1.6759893069999998
Rio de Janeiro,Feminino,31,Parda,9,900,1.618948039
Rio de Janeiro,Masculino,47,Branca,9,3500,1.844829016
Rio de Janeiro,Masculino,27,Parda,10,950,1.7651402269999998
Rio de Janeiro,Feminino,57,Branca,4,100,1.676669107
Rio de Janeiro,Masculino,63,Branca,5,2000,1.590692926
Rio de Janeiro,Masculino,48,Parda,7,1800,1.654770131
Rio de Janeiro,Masculino,29,Branca,12,2000,1.782589547
Rio de Janeiro,Masculino,56,Preta,6,788,1.76689356
Rio de Janeiro,Masculino,44,Parda,11,1400,1.7876298259999999
Rio de Janeiro,Feminino,45,Branca,8,970,1.783841738
Rio de Janeiro,Masculino,58,Parda,16,90000,1.71706841
Rio de Janeiro,Feminino,72,Branca,5,100,1.705735456
Rio de Janeiro,Masculino,29,Branca,13,1300,1.6704079109999999
Rio de Janeiro,Masculino,50,Branca,12,2400,1.800349577
Rio de Janeiro,Feminino,49,Branca,6,880,1.610329269
Rio de Janeiro,Masculino,33,Branca,12,1400,1.670750536
Rio de Janeiro,Masculino,44,Branca,9,1000,1.705424735
Rio de Janeiro,Masculino,48,Branca,10,1500,1.6331365580000001
Rio de Janeiro,Masculino,42,Preta,9,1200,1.573216225
Rio de Janeiro,Feminino,63,Branca,3,600,1.573135159
Rio de Janeiro,Masculino,64,Parda,9,1754,1.670241839
Rio de Janeiro,Feminino,50,Branca,5,788,1.708041365
